"Date","Price","Open","High","Low","Vol.","Change %"
"07/14/2022","69,646.0","69,646.0","70,235.0","69,142.0","1.03M","0.36%"
"07/13/2022","69,394.0","70,656.0","70,656.0","69,394.0","1.31M","-1.20%"
"07/12/2022","70,235.0","69,646.0","70,235.0","69,562.0","693.22K","0.85%"
"07/11/2022","69,646.0","71,160.0","71,160.0","69,646.0","1.15M","-0.96%"
"07/08/2022","70,319.0","70,572.0","70,656.0","69,899.0","1.05M","0.60%"
"07/07/2022","69,899.0","70,572.0","71,160.0","69,899.0","1.48M","-0.48%"
"07/06/2022","70,235.0","70,740.0","72,254.0","70,235.0","2.57M","-2.22%"
"07/05/2022","71,833.0","73,852.0","73,852.0","71,833.0","1.60M","-1.50%"
"07/04/2022","72,927.0","74,441.0","74,441.0","72,338.0","1.16M","-1.48%"
"07/01/2022","74,020.0","73,179.0","74,693.0","71,329.0","1.95M","2.09%"
"06/30/2022","72,506.0","75,282.0","75,619.0","72,506.0","1.73M","-4.22%"
"06/29/2022","75,703.0","74,777.0","75,703.0","74,189.0","1.36M","0.34%"
"06/28/2022","75,450.0","75,282.0","75,871.0","73,347.0","2.64M","3.70%"
"06/27/2022","72,759.0","72,675.0","73,936.0","72,254.0","1.44M","1.17%"
"06/24/2022","71,918.0","72,422.0","73,852.0","71,918.0","1.04M","0.00%"
"06/23/2022","71,918.0","70,656.0","73,011.0","70,403.0","2.33M","1.18%"
"06/22/2022","71,076.0","75,534.0","76,039.0","70,992.0","3.42M","-5.16%"
"06/21/2022","74,946.0","77,721.0","78,647.0","74,862.0","2.83M","-3.15%"
"06/20/2022","77,385.0","78,647.0","79,488.0","76,796.0","2.86M","0.00%"
"06/17/2022","77,385.0","75,955.0","77,890.0","74,862.0","2.67M","0.00%"
"06/16/2022","77,385.0","76,544.0","78,899.0","75,871.0","2.90M","1.66%"
"06/15/2022","76,123.0","76,207.0","76,207.0","74,020.0","2.03M","1.57%"
"06/14/2022","74,946.0","72,338.0","75,619.0","71,918.0","2.65M","3.37%"
"06/13/2022","72,506.0","74,020.0","76,376.0","72,338.0","3.90M","-5.96%"
"06/10/2022","77,105.0","79,488.0","80,399.0","77,105.0","4.10M","-4.60%"
"06/09/2022","80,820.0","80,960.0","81,240.0","79,418.0","2.35M","0.26%"
"06/08/2022","80,609.0","81,521.0","82,432.0","80,259.0","3.67M","-0.52%"
"06/07/2022","81,030.0","78,997.0","81,030.0","76,123.0","5.39M","2.30%"
"06/06/2022","79,207.0","79,908.0","81,310.0","78,506.0","3.53M","-0.88%"
"06/03/2022","79,908.0","78,156.0","79,908.0","77,735.0","2.42M","2.24%"
"06/02/2022","78,156.0","79,067.0","80,469.0","77,876.0","3.16M","-0.27%"
"06/01/2022","78,366.0","77,034.0","79,137.0","76,964.0","2.81M","1.73%"
"05/31/2022","77,034.0","78,016.0","78,016.0","75,352.0","2.98M","-1.26%"
"05/30/2022","78,016.0","77,876.0","78,787.0","76,544.0","3.45M","-0.45%"
"05/27/2022","78,366.0","74,020.0","78,506.0","73,950.0","5.35M","5.87%"
"05/26/2022","74,020.0","73,740.0","75,072.0","73,319.0","1.97M","0.57%"
"05/25/2022","73,600.0","69,745.0","73,600.0","69,184.0","5.20M","6.93%"
"05/24/2022","68,833.0","67,642.0","68,833.0","67,291.0","1.91M","1.76%"
"05/23/2022","67,642.0","68,833.0","68,833.0","67,361.0","1.57M","-1.03%"
"05/20/2022","68,343.0","68,483.0","69,324.0","67,992.0","1.95M","0.52%"
"05/19/2022","67,992.0","66,660.0","68,483.0","66,660.0","1.70M","-0.72%"
"05/18/2022","68,483.0","69,885.0","70,165.0","68,343.0","2.67M","-2.01%"
"05/17/2022","69,885.0","65,188.0","69,885.0","64,838.0","2.82M","6.97%"
"05/16/2022","65,329.0","68,343.0","68,343.0","65,329.0","2.40M","-0.43%"
"05/13/2022","65,609.0","67,361.0","69,394.0","65,258.0","5.66M","-2.09%"
"05/12/2022","67,011.0","69,604.0","71,427.0","66,590.0","3.58M","-6.18%"
