"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2019","30,117.7","29,881.8","30,275.0","29,881.8","30.11K","-0.52%"
"09/17/2019","30,275.0","30,275.0","30,589.5","29,960.4","74.61K","-1.03%"
"09/16/2019","30,589.5","30,117.7","31,611.8","30,117.7","26.85K","0.00%"
"09/13/2019","30,589.5","31,022.0","31,022.0","30,275.0","29.34K","1.04%"
"09/12/2019","30,275.0","29,016.8","30,275.0","29,016.8","86.70K","4.34%"
"09/11/2019","29,016.8","28,702.3","29,095.4","28,623.6","63.87K","-0.27%"
"09/10/2019","29,095.4","29,881.8","29,921.1","28,545.0","170.96K","-2.63%"
"09/09/2019","29,881.8","30,039.1","30,196.4","29,881.8","43.15K","-1.04%"
"09/06/2019","30,196.4","30,628.9","30,628.9","29,921.1","37.54K","0.26%"
"09/05/2019","30,117.7","30,039.1","30,904.1","30,039.1","28.82K","-0.78%"
"09/04/2019","30,353.6","30,353.6","30,589.5","29,881.8","54.24K","-1.03%"
"09/03/2019","30,668.2","31,218.6","31,415.2","30,668.2","56.16K","-1.76%"
"08/30/2019","31,218.6","31,375.9","31,415.2","30,668.2","46.26K","0.76%"
"08/29/2019","30,982.7","31,140.0","31,690.4","30,982.7","68.71K","-0.51%"
"08/28/2019","31,140.0","31,533.2","31,808.4","31,140.0","65.29K","-1.86%"
"08/27/2019","31,729.8","31,611.8","32,162.3","31,375.9","44.30K","1.25%"
"08/26/2019","31,336.6","31,533.2","31,769.1","30,982.7","55.33K","-2.57%"
"08/23/2019","32,162.3","32,594.8","32,594.8","31,533.2","60.47K","-1.33%"
"08/22/2019","32,594.8","32,634.1","32,634.1","32,005.0","62.78K","0.61%"
"08/21/2019","32,398.2","32,476.8","34,246.1","32,083.6","306.94K","-0.24%"
"08/20/2019","32,476.8","32,162.3","32,476.8","31,611.8","71.13K","0.98%"
"08/19/2019","32,162.3","33,027.3","33,027.3","31,533.2","78.90K","-2.15%"
"08/16/2019","32,870.0","31,454.5","33,459.8","31,454.5","337.00K","4.11%"
"08/15/2019","31,572.5","30,275.0","32,162.3","29,921.1","177.68K","2.82%"
"08/14/2019","30,707.5","28,859.5","30,707.5","28,623.6","153.75K","6.99%"
"08/13/2019","28,702.3","29,803.2","29,803.2","28,623.6","88.91K","-3.95%"
"08/12/2019","29,881.8","29,881.8","30,275.0","29,645.9","73.64K","0.00%"
"08/09/2019","29,881.8","29,252.7","30,117.7","29,095.4","115.61K","3.26%"
"08/08/2019","28,938.2","28,780.9","28,938.2","28,230.4","91.94K","0.55%"
"08/07/2019","28,780.9","28,309.1","28,859.5","28,309.1","33.86K","-0.95%"
"08/06/2019","29,056.1","28,151.8","29,095.4","27,955.2","111.59K","-0.94%"
"08/05/2019","29,331.4","28,309.1","30,275.0","28,309.1","186.13K","-3.62%"
"08/02/2019","30,432.3","29,488.6","30,432.3","29,488.6","71.24K","3.48%"
"08/01/2019","29,410.0","27,915.9","29,881.8","27,915.9","228.25K","-1.32%"
"07/31/2019","29,803.2","32,005.0","32,005.0","29,803.2","345.41K","-6.88%"
"07/30/2019","32,005.0","31,611.8","32,870.0","31,454.5","97.42K","-0.73%"
"07/29/2019","32,240.9","32,319.5","32,870.0","31,769.1","148.50K","0.49%"
"07/26/2019","32,083.6","32,791.4","33,656.4","31,926.4","141.28K","-0.24%"
"07/25/2019","32,162.3","31,533.2","32,240.9","31,297.3","84.38K","2.25%"
"07/24/2019","31,454.5","31,454.5","31,690.4","30,904.1","87.02K","4.07%"
"07/23/2019","30,225.3","29,533.4","30,516.7","29,533.4","130.96K","2.34%"
"07/22/2019","29,533.4","29,861.2","29,861.2","29,278.5","119.59K","-1.10%"
"07/19/2019","29,861.2","30,516.7","31,245.0","29,861.2","143.29K","-2.26%"
"07/18/2019","30,553.1","30,225.3","31,245.0","30,152.5","171.32K","2.19%"
"07/17/2019","29,897.6","27,821.9","29,897.6","27,821.9","271.53K","6.90%"
"07/16/2019","27,967.5","28,040.4","28,040.4","27,785.5","73.98K","0.66%"
"07/15/2019","27,785.5","28,040.4","28,113.2","27,676.2","92.25K","-0.65%"
"07/12/2019","27,967.5","27,239.2","27,967.5","27,020.7","149.63K","2.67%"
"07/11/2019","27,239.2","27,384.9","27,457.7","26,875.1","61.58K","0.54%"
"07/10/2019","27,093.6","26,947.9","27,312.1","26,947.9","93.00K","1.92%"
"07/09/2019","26,583.7","27,348.5","27,384.9","26,583.7","153.86K","-2.80%"
